timestamp,filtered_eeg_value
435204,-117.01345181207999
435208,-58.0667501136584
435212,-1.2303197601449511
435216,-9.027637894281938
435220,-101.73233054440969
435224,-120.24131558385119
435228,-43.61247944057037
435232,-55.64179433716488
435236,-101.86381655387277
435240,-118.65597183600623
435244,-88.09136054252917
435248,9.904271447455528
435252,24.1058733540116
435256,-19.538301181585915
435260,-53.18639169641371
435264,-25.40524587520601
435268,70.48807230817496
435272,70.77375013717699
435276,20.125478728852435
435280,-6.269611386727618
435284,16.88245066716144
435288,98.47314218328509
435292,77.02925995796215
435296,-8.588971626581866
435300,-68.94884096729837
435304,-57.86608637000769
435308,28.40781731494136
435312,27.00564610201966
435316,-36.62297610862977
435320,-89.85031587866928
435324,-71.91270313993759
435328,24.25013551977227
435332,29.77435834779228
435336,-6.902175326323242
435340,-26.328469136807975
435344,-2.4428683150240342
435348,86.03839841057196
435352,76.7409874309648
435356,21.37226865485242
435360,-28.228343030453203
435364,-29.080112867878597
435368,54.332975472206584
435372,44.52497788399299
435376,-25.629399117825265
435380,-71.53940472212224
435384,-50.206055175254676
435388,38.113037338667766
435392,40.208248924152656
435396,-22.750401552458328
435400,-67.90989005983715
435404,-42.27650716279496
435408,48.56025567417195
435412,39.753170760304016
435416,-32.005017107979455
435420,-78.32189124204129
435424,-54.1553799036075
435428,42.36626054519195
435432,45.89900120700239
435436,9.581705775555236
435440,-9.747958945514242
435444,10.105494729273923
435448,94.65942299783109
435452,78.11626506256158
435456,11.225829587411866
435460,-29.860766479306882
435464,-18.027343599431667
435468,61.045250130868425
435472,60.03092854344867
435476,11.881282056180417
435480,-27.725997315169472
435484,-18.28220238206645
435488,55.61006097638918
435492,50.752837038219845
435496,19.058768602612986
435500,-15.795098261300438
435504,-22.14144144774874
435508,46.87997709968123
435512,25.579983674686627
435516,-38.63398977516424
435520,-102.64734945592954
435524,-111.0492240433967
435528,-22.836237243033963
435532,-26.807273338440083
435536,-77.97922952924304
435540,-90.44753208890916
435544,-47.13861288397234
435548,50.89251974922716
435552,60.77759061018973
435556,41.73398835598095
435560,27.351046283787788
435564,37.047932713799916
435568,114.06438751230483
435572,102.47161517735435
435576,50.68686492929885
435580,0.7280535397351287
435584,-9.383163173866151
435588,56.55625542040596
435592,30.60783623738021
435596,-51.28702430583363
435600,-40.0974649909091
435604,29.005140682298176
435608,89.82325295568792
435612,63.50192387273414
435616,-2.7892934719589277
435620,-69.17024480364589
435624,-86.45730786681702
435628,-14.392898057064002
435632,-10.365531044618493
435636,-57.46072073955467
435640,-107.3618254236229
435644,-94.7465047463119
435648,-4.877730962997987
435652,3.9890866423947813
435656,-33.14060895546487
435660,-53.39659584554493
435664,-23.619439352117148
435668,66.15593124087695
435672,80.68382772667448
435676,61.097966795466284
435680,36.820740525820526
435684,40.54772774583881
435688,107.16500727734626
435692,101.49660382029028
435696,61.57703469399314
435700,14.64736297944711
435704,0.0012146517288229575
435708,53.408427308299004
435712,34.213946610569415
435716,-22.024832856444895
435720,-88.1046477349056
435724,-105.8336348045559
435728,-34.715199063102574
435732,-31.133223134380543
435736,-74.545635822803
435740,-113.9307370097347
435744,-94.24562449884316
435748,-3.361081912412544
