timestamp,filtered_eeg_value
1006272,6.48065401735237e-8
1006276,4.102687200169657e-8
1006280,1.7044901864117247e-8
1006284,-5.684721939064911e-9
1006288,-2.5920158550559373e-8
1006292,-4.268654064868914e-8
1006296,-5.5309027506819875e-8
1006300,-6.342476730489658e-8
1006304,-6.69750512857789e-8
1006308,-6.618000645471132e-8
1006312,-6.149899632320624e-8
1006316,-5.358045431520719e-8
1006320,-4.320515402294942e-8
1006324,-3.1226933899949816e-8
1006328,-1.851466562989001e-8
1006332,-5.898821889712113e-9
1006336,5.874594075321104e-9
1006340,1.6180697073436268e-8
1006344,2.4541645960577302e-8
1006348,3.064131127150463e-8
1006352,3.432887340654445e-8
1006356,3.561218496890288e-8
1006360,3.464226453627238e-8
1006364,3.169069042463726e-8
1006368,2.7121920390810755e-8
1006372,2.136267495189451e-8
1006376,1.4870495189511998e-8
1006380,8.103435287712207e-9
1006384,1.4925963738301289e-9
1006388,-4.581123557990421e-9
1006392,-9.805071498775669e-9
1006396,-1.3947086674628937e-8
1006400,-1.6861769228486864e-8
1006404,-1.849096165713167e-8
1006408,-1.8858962600969136e-8
1006412,-1.8063258648753682e-8
1006416,-1.626175364410398e-8
1006420,-1.365759180928742e-8
1006424,-1.0482711137749475e-8
1006428,-6.981231815421275e-9
1006432,-3.3936896154533543e-9
1006436,5.702207119099718e-11
1006440,3.1773220228139798e-9
1006444,5.811750589208534e-9
1006448,7.848662466395033e-9
1006452,9.222757433987231e-9
1006456,9.914597217065974e-9
1006460,9.947422994369787e-9
1006464,9.381719843648259e-9
1006468,8.308066983853928e-9
1006472,6.838864216337524e-9
1006476,5.099536285969783e-9
1006480,3.2197911123465918e-9
1006484,1.325450038193277e-9
1006488,-4.687150978784282e-10
1006492,-2.0648047256031553e-9
1006496,-3.386052611195907e-9
1006500,-4.379418167078658e-9
1006504,-5.0165129724948564e-9
1006508,-5.292963901292723e-9
1006512,-5.226399129092472e-9
1006516,-4.853308070071456e-9
1006520,-4.225069906086202e-9
1006524,-3.4034672130112483e-9
1006528,-2.456002016629178e-9
1006532,-1.4513133650350427e-9
1006536,-4.549610858177185e-10
1006540,4.742066029376038e-10
1006544,1.2869395331440669e-9
1006548,1.945623994437655e-9
1006552,2.4254314589431927e-9
1006556,2.7145931731147053e-9
1006560,2.813867015688529e-9
1006564,2.7353050767900617e-9
1006568,2.5004619921563174e-9
1006572,2.138204270907647e-9
1006576,1.6822895538265444e-9
1006580,1.168882501349882e-9
1006584,6.341620067477557e-10
1006588,1.1215430419959783e-10
1006592,-3.6709973199025036e-10
1006596,-7.789650667580052e-10
1006600,-1.1051748004493786e-9
1006604,-1.334320100732796e-9
1006608,-1.4618832071199781e-9
1006612,-1.4898548322092447e-9
1006616,-1.4259982443561453e-9
1006620,-1.282837562637649e-9
1006624,-1.0764569556420526e-9
1006628,-8.252005391389835e-10
1006632,-5.483602022873056e-10
1006636,-2.649310484808986e-10
1006640,7.497461511818031e-12
1006644,2.5366115129466095e-10
1006648,4.613144394345817e-10
1006652,6.216772674678085e-10
1006656,7.296322416266819e-10
1006660,7.836838584768718e-10
1006664,7.857048006366915e-10
1006668,7.405046662413669e-10
1006672,6.55263773161341e-10
1006676,5.388787143662698e-10
1006680,4.012671999183018e-10
1006684,2.526776534510309e-10
1006688,1.0304443774881107e-10
1006692,-3.857702054560706e-11
1006696,-1.6446896707085002e-10
1006700,-2.685865164060085e-10
1006704,-3.4676095246740206e-10
1006708,-3.967714626253879e-10
1006712,-4.1829347935518723e-10
1006716,-4.1273841450884164e-10
1006720,-3.8300467108269266e-10
1006724,-3.3316324363301703e-10
1006728,-2.6810292476265416e-10
1006732,-1.9316018222474078e-10
1006736,-1.1375731357054092e-10
1006740,-3.506975274824093e-11
1006744,3.826031998934431e-11
1006748,1.0235131037399634e-10
1006752,1.542424737592279e-10
1006756,1.9198387288271163e-10
1006760,2.1465730756522113e-10
1006764,2.223335048492053e-10
1006768,2.1597417215674551e-10
1006772,1.972900011519698e-10
1006776,1.6856729593274384e-10
1006780,1.3247657622908323e-10
1006784,9.187632005376438e-11
1006788,4.9624053688392255e-11
1006792,8.40540025074717e-12
1006796,-2.941038239900933e-11
1006800,-6.188223761293511e-11
1006804,-8.757291739749131e-11
1006808,-1.0558726885373971e-10
1006812,-1.1557444455904624e-10
1006816,-1.1769732324748557e-10
1006820,-1.1257407840011318e-10
1006824,-1.0119803158474381e-10
1006828,-8.484264564132005e-11
1006832,-6.495875267921845e-11
1006836,-4.3070904312261254e-11
1006840,-2.067913142627836e-11
1006844,8.285188225436604e-13
1006848,2.024845482529924e-11
1006852,3.661610384647286e-11
1006856,4.924099794304758e-11
1006860,5.7722128085821555e-11
1006864,6.194451727592787e-11
1006868,6.205899751575339e-11
1006872,5.844799276200407e-11
1006876,5.168068208502303e-11
1006880,4.246123317209594e-11
1006884,3.157386141043555e-11
1006888,1.9828303939243617e-11
1006892,8.008933081578463e-12
1006896,-3.169789827620128e-12
1006900,-1.3099454670612931e-11
1006904,-2.1304070173614597e-11
1006908,-2.745600673416639e-11
1006912,-3.138154804836551e-11
1006916,-3.3056703934467886e-11
1006920,-3.259445785759512e-11
1006924,-3.0225024144966593e-11
1006928,-2.62709590466052e-11
1006932,-2.1119103070428535e-11
1006936,-1.5191334303163965e-11
1006940,-8.915995996087874e-12
1006944,-2.7016447661736918e-12
1006948,3.085529153311541e-12
1006952,8.139606040351639e-12
1006956,1.2227536585162007e-11
1006960,1.5196186020772633e-11
1006964,1.6973927325504133e-11
1006968,1.7567204678161872e-11
1006972,1.705274949780419e-11
1006976,1.5566326961586983e-11
1006980,1.328901537622989e-11
1006984,1.0432073465717202e-11
1006988,7.221435179756031e-12
1006992,3.882795407149301e-12
1006996,6.281233158826435e-13
1007000,-2.355724701040599e-12
1007004,-4.915809848622017e-12
1007008,-6.939051194624716e-12
1007012,-8.355217265538615e-12
1007016,-9.137069330861684e-12
1007020,-9.297917712766083e-12
1007024,-8.886982540560335e-12
1007028,-7.983044695743569e-12
1007032,-6.686929006154197e-12
1007036,-5.113380278336747e-12
1007040,-3.3828759769386746e-12
1007044,-1.613871619272988e-12
1007048,8.409795638013862e-14
1007052,1.6161296194244512e-12
1007056,2.9062459800572007e-12
1007060,3.9001496791507866e-12
1007064,4.5664189828104026e-12
1007068,4.8962208235633626e-12
1007072,4.901698955229358e-12
1007076,4.6132592506771685e-12
1007080,4.076019144802115e-12
1007084,3.3457129545798676e-12
1007088,2.484349732080541e-12
1007092,1.5559070069481139e-12
1007096,6.223147750172576e-13
1007100,-2.600573869012205e-13
1007104,-1.0432474885004757e-12
1007108,-1.689775239322144e-12
1007112,-2.17389221538795e-12
1007116,-2.482011327851752e-12
1007120,-2.6123676586839246e-12
1007124,-2.574003802287321e-12
1007128,-2.38520445858913e-12
1007132,-2.071526167832495e-12
1007136,-84.76519240085177
1007140,-156.42405966880457
1007144,-127.16414805330844
1007148,-93.06537801679153
1007152,-56.627326831104924
1007156,-20.252726459853733
1007160,13.887178332655495
1007164,43.960656828179786
1007168,68.55296015649338
1007172,86.71148895448427
1007176,97.95901815004041
1007180,102.27721427256346
1007184,100.06424704575309
1007188,92.07148738035204
1007192,79.32506263385653
1007196,63.03839953306081
1007200,44.52184367000555
1007204,25.0950424667709
